+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Wed Jun 10 22:06:35 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_v2_analysis in KEN2)                    |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|  254| . . . . . . . . . . . . . . . . . . . . . . . . . . |       770|  0.05|
|  255| . . . . . . . . . . . . . . . . . . . . . . . . . . |       772|  0.05|
|  256| . . . . . . . . . . . . . . . . . . . . . . . . . . |       778|  0.05|
|  257| . . . . . . . . . . . . . . . . . . . . . . . . . . |       774|  0.05|
|  258| . . . . . . . . . . . . . . . . . . . . . . . . . . |       764|  0.05|
|  259| . . . . . . . . . . . . . . . . . . . . . . . . . . |       761|  0.05|
|  260| . . . . . . . . . . . . . . . . . . . . . . . . . . |       758|  0.05|
|  261| . . . . . . . . . . . . . . . . . . . . . . . . . . |       774|  0.05|
|  262| . . . . . . . . . . . . . . . . . . . . . . . . . . |       756|  0.05|
|  263| . . . . . . . . . . . . . . . . . . . . . . . . . . |       743|  0.05|
|  264| . . . . . . . . . . . . . . . . . . . . . . . . . . |       728|  0.05|
|  265| . . . . . . . . . . . . . . . . . . . . . . . . . . |       761|  0.05|
|  266| . . . . . . . . . . . . . . . . . . . . . . . . . . |       750|  0.05|
|  267| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  268| . . . . . . . . . . . . . . . . . . . . . . . . . . |       751|  0.05|
|  269| . . . . . . . . . . . . . . . . . . . . . . . . . . |       735|  0.05|
|  270| . . . . . . . . . . . . . . . . . . . . . . . . . . |       740|  0.05|
|  271| . . . . . . . . . . . . . . . . . . . . . . . . . . |       737|  0.05|
|  272| . . . . . . . . . . . . . . . . . . . . . . . . . . |       737|  0.05|
|  273| . . . . . . . . . . . . . . . . . . . . . . . . . . |       743|  0.05|
|  274| . . . . . . . . . . . . . . . . . . . . . . . . . . |       734|  0.05|
|  275| . . . . . . . . . . . . . . . . . . . . . . . . . . |       734|  0.05|
|  276| . . . . . . . . . . . . . . . . . . . . . . . . . . |       736|  0.05|
|  277| . . . . . . . . . . . . . . . . . . . . . . . . . . |       744|  0.05|
|  278| . . . . . . . . . . . . . . . . . . . . . . . . . . |       732|  0.05|
|  279| . . . . . . . . . . . . . . . . . . . . . . . . . . |       742|  0.05|
|  280| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  281| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  282| . . . . . . . . . . . . . . . . . . . . . . . . . . |       735|  0.05|
|  283| . . . . . . . . . . . . . . . . . . . . . . . . . . |       731|  0.05|
|  284| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  285| . . . . . . . . . . . . . . . . . . . . . . . . . . |       734|  0.05|
|  286| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  287| . . . . . . . . . . . . . . . . . . . . . . . . . . |       728|  0.05|
|  288| . . . . . . . . . . . . . . . . . . . . . . . . . . |       751|  0.05|
|  289| . . . . . . . . . . . . . . . . . . . . . . . . . . |       732|  0.05|
|  290| . . . . . . . . . . . . . . . . . . . . . . . . . . |       724|  0.05|
|  291| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  292| . . . . . . . . . . . . . . . . . . . . . . . . . . |       723|  0.05|
|  293| . . . . . . . . . . . . . . . . . . . . . . . . . . |       725|  0.05|
|  294| . . . . . . . . . . . . . . . . . . . . . . . . . . |       739|  0.05|
|  295| . . . . . . . . . . . . . . . . . . . . . . . . . . |       723|  0.05|
|  296| . . . . . . . . . . . . . . . . . . . . . . . . . . |       745|  0.05|
|  297| . . . . . . . . . . . . . . . . . . . . . . . . . . |       710|  0.05|
|  298| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  299| . . . . . . . . . . . . . . . . . . . . . . . . . . |       705|  0.05|
|  300| . . . . . . . . . . . . . . . . . . . . . . . . . . |       725|  0.05|
