+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Wed Jun 10 22:29:57 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_v2 in UPDATE_T4)                         |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 212| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1546|  0.10|
| 213| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1431|  0.09|
| 214| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1488|  0.10|
| 215| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1520|  0.10|
| 216| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1504|  0.10|
| 217| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1408|  0.09|
| 218| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1468|  0.10|
| 219| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1454|  0.09|
| 220| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1443|  0.09|
| 221| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1432|  0.09|
| 222| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1534|  0.10|
| 223| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1497|  0.10|
| 224| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1429|  0.09|
| 225| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1449|  0.09|
| 226| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1467|  0.10|
| 227| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1443|  0.09|
| 228| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1445|  0.09|
| 229| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1416|  0.09|
| 230| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1487|  0.10|
| 231| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1422|  0.09|
| 232| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1473|  0.10|
| 233| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1411|  0.09|
| 234| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1455|  0.09|
| 235| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1460|  0.09|
| 236| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1393|  0.09|
| 237| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1373|  0.09|
| 238| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1456|  0.09|
| 239| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1468|  0.10|
| 240| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1444|  0.09|
| 241| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1412|  0.09|
| 242| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1435|  0.09|
| 243| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1439|  0.09|
| 244| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1481|  0.10|
| 245| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1461|  0.09|
| 246| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1481|  0.10|
| 247| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1354|  0.09|
| 248| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1524|  0.10|
| 249| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1445|  0.09|
| 250| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1380|  0.09|
| 251| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1427|  0.09|
| 252| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1364|  0.09|
| 253| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1429|  0.09|
| 254| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1382|  0.09|
| 255| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1505|  0.10|
| 256| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1393|  0.09|
| 257| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1417|  0.09|
| 258| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1405|  0.09|
| 259| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1424|  0.09|
| 260| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1375|  0.09|
| 261| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1406|  0.09|
| 262| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1434|  0.09|
| 263| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1426|  0.09|
| 264| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1367|  0.09|
| 265| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1411|  0.09|
| 266| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1324|  0.09|
| 267| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1373|  0.09|
| 268| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1379|  0.09|
| 269| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1367|  0.09|
| 270| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1354|  0.09|
| 271| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1407|  0.09|
| 272| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1477|  0.10|
| 273| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1387|  0.09|
| 274| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1405|  0.09|
| 275| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1395|  0.09|
| 276| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1322|  0.09|
| 277| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1353|  0.09|
| 278| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1324|  0.09|
| 279| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1362|  0.09|
| 280| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1328|  0.09|
| 281| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1362|  0.09|
| 282| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1364|  0.09|
| 283| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1271|  0.08|
| 284| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1340|  0.09|
