+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:22 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t1travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 253| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       708|  0.02|
| 254| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       724|  0.02|
| 255| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       700|  0.02|
| 256| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       729|  0.02|
| 257| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       696|  0.02|
| 258| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       682|  0.02|
| 259| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       698|  0.02|
| 260| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       686|  0.02|
| 261| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       705|  0.02|
| 262| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       662|  0.02|
| 263| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       692|  0.02|
| 264| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       661|  0.02|
| 265| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       671|  0.02|
| 266| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       656|  0.02|
| 267| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       655|  0.02|
| 268| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       653|  0.02|
| 269| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       669|  0.02|
| 270| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       655|  0.02|
| 271| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       635|  0.02|
| 272| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       648|  0.02|
| 273| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       649|  0.02|
| 274| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       653|  0.02|
| 275| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       635|  0.02|
| 276| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       619|  0.02|
| 277| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       618|  0.02|
| 278| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       631|  0.02|
| 279| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       611|  0.02|
| 280| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       623|  0.02|
| 281| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       595|  0.02|
| 282| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       627|  0.02|
| 283| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       612|  0.02|
| 284| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       613|  0.02|
| 285| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       605|  0.02|
| 286| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       600|  0.02|
| 287| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       598|  0.02|
